mode           real           imag        per(yr)              Q
   1   4.187683e-04  -5.982374e-04   6.537865e+00   3.500018e-01
   2   5.069304e-04  -5.070225e-04   5.400841e+00   4.999092e-01
   3   5.230115e-04  -9.381765e-04   5.234782e+00   2.787383e-01
   4   5.771861e-04  -5.312773e-04   4.743445e+00   5.432061e-01
   5   6.101946e-04  -6.103680e-04   4.486849e+00   4.998579e-01
