mode           real           imag        per(yr)              Q
   1   1.762800e-04  -5.026924e-05   1.553126e+01   1.753359e+00
   2   1.799803e-04  -5.528535e-05   1.521195e+01   1.627739e+00
   3   1.848689e-04   1.171843e-04   1.480969e+01   7.887957e-01
   4   1.858411e-04  -5.503003e-06   1.473221e+01   1.688543e+01
   5   1.861421e-04  -2.973255e-05   1.470839e+01   3.130275e+00
