mode           real           imag        per(yr)              Q
   1   4.391248e-06  -2.157761e-05   6.234790e+02   1.017547e-01
   2   1.298735e-05  -9.682191e-06   2.108091e+02   6.706822e-01
   3   1.900064e-05  -6.687063e-06   1.440926e+02   1.420701e+00
   4   2.350977e-05  -2.179305e-05   1.164559e+02   5.393870e-01
   5   2.396621e-05  -1.313618e-05   1.142380e+02   9.122216e-01
