mode           real           imag        per(yr)              Q
   1   5.233643e-04  -2.436675e-04   5.231252e+00   1.073931e+00
   2   5.279558e-04  -9.643485e-05   5.185757e+00   2.737370e+00
   3   5.644004e-04  -1.520569e-04   4.850901e+00   1.855886e+00
   4   5.741490e-04  -4.210294e-04   4.768537e+00   6.818396e-01
   5   6.086731e-04  -3.280918e-04   4.498064e+00   9.275959e-01
